ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
23,3408130,100,1,18,0,0,0,1,110,3,7,1
23,2478640,75,1,2,0,0,0,1,80,8,3,1
23,3706920,75,1,11,0,0,0,1,90,8,4,1
23,6154880,132,4,11,0,0,2,1,160,6,3,1
23,3681350,7,1,9,0,0,0,1,85,0,3,1
23,5403300,80,1,18,0,0,0,1,100,7,3,1
23,4118800,80,1,9,0,0,0,1,100,0,3,1
23,6483960,105,3,11,3,0,1,1,120,5,3,1
23,5372040,105,3,9,0,0,0,1,120,0,3,1
23,2948154,33,0,15,0,0,0,1,57,8,11,0
23,6483960,105,3,11,3,0,1,1,120,5,3,1
23,3031700,50,0,18,0,0,0,1,70,0,4,1
23,3835530,80,1,17,0,0,0,1,90,5,3,1
23,5756640,100,3,2,0,0,0,1,120,0,3,1
23,4027790,115,3,11,0,0,1,1,130,8,3,1
23,2699010,80,1,2,0,0,0,1,90,3,5,1
23,2545345,45,0,18,0,0,0,1,55,6,3,1
23,4029030,75,1,6,0,0,0,1,90,0,3,1
23,3912860,80,1,9,0,0,0,1,95,0,3,1
23,3912860,85,1,2,0,0,0,1,95,5,2,1
23,4317480,80,1,11,0,0,0,1,90,5,3,1
23,6479060,115,3,6,0,0,1,1,140,8,3,1
23,5756640,100,3,6,0,0,0,1,120,5,3,1
23,4322640,65,1,18,0,0,0,1,80,0,5,1
23,2549065,65,0,17,0,0,0,1,85,8,6,1
23,3706920,75,1,16,3,0,0,1,90,7,10,0
23,3706920,75,1,4,3,0,0,1,90,7,10,0
23,4551536,80,1,9,0,0,0,1,88,4,4,1
23,2478640,70,1,17,0,0,0,1,80,8,3,1
23,2633555,70,1,17,0,0,0,1,85,8,3,1
23,2478640,75,1,17,0,0,0,1,80,8,3,1
23,4182705,125,3,9,0,0,0,1,135,8,2,1
23,43310000,80,1,9,0,0,0,1,1000,7,3,1
23,4252865,75,1,18,0,0,0,1,95,7,3,1
23,5943630,95,3,2,5,0,0,1,110,7,3,1
23,3835530,75,1,6,3,0,0,1,90,4,7,1
23,2909855,50,0,2,0,0,0,1,65,7,4,1
23,2686020,50,0,6,0,0,0,1,60,8,4,1
23,4317480,75,1,2,3,0,0,1,90,7,4,1
23,4029030,80,1,9,0,0,0,1,90,5,4,1
23,6924240,160,4,11,0,0,1,1,180,2,3,1
23,3166152,50,0,17,0,0,0,1,66,0,3,1
23,3597900,60,1,18,0,0,0,1,75,2,3,1
23,6723860,110,3,9,0,1,0,1,130,5,6,1
24,1954440,75,1,6,0,1,0,1,90,3,3,1
24,3664935,95,1,2,0,0,0,1,115,2,4,1
24,2099804,65,0,4,3,0,0,1,76,8,10,1
24,2394090,75,1,0,0,0,0,1,90,3,2,1
24,2339455,70,1,18,0,0,0,1,85,8,4,1
24,4599720,120,3,3,0,0,1,1,135,7,10,1
24,3194555,70,1,6,0,0,0,1,85,5,3,1
24,6688500,105,3,18,0,0,0,1,125,6,4,1
24,6420960,90,3,9,3,0,1,1,120,0,5,1
24,1882855,50,0,15,0,0,0,1,65,2,8,1
24,3342560,110,3,4,0,0,1,1,130,8,10,0
24,2931660,125,3,11,0,0,0,1,135,2,4,1
24,2222260,110,3,2,0,1,0,1,115,5,4,0
24,2348465,68,1,9,0,0,0,1,85,0,4,1
24,5449535,135,3,13,0,0,0,1,145,2,8,0
24,1797040,70,1,18,0,0,0,1,80,2,3,1
24,2614685,80,1,13,0,0,0,1,95,8,6,1
24,2246300,85,1,18,0,0,0,1,100,8,2,1
24,2549096,73,1,9,0,0,1,1,88,8,3,1
24,3511320,100,3,15,3,0,0,1,120,1,7,1
24,4111125,85,1,9,0,0,0,1,95,8,6,0
24,1697780,60,1,0,0,0,0,1,70,8,5,1
24,2202936,83,1,14,3,0,1,1,114,0,9,1
24,3066480,70,1,16,5,0,0,1,90,0,8,0
24,3066480,70,1,13,5,0,0,1,90,0,8,0
24,4088640,106,3,16,5,0,1,1,120,0,8,0
24,13377000,220,5,11,0,0,2,1,250,5,5,1
24,2339455,70,1,2,0,0,1,1,85,7,4,1
24,4116710,115,3,18,3,0,0,1,130,5,8,1
24,3008365,85,1,16,3,0,0,1,95,6,8,1
24,2614685,80,1,12,3,0,0,1,95,6,6,1
24,4590875,110,3,9,0,0,1,1,125,2,4,0
24,1961730,80,1,6,0,0,1,1,90,8,3,1
24,2607030,75,1,12,0,0,0,1,90,1,4,0
24,3440375,90,3,9,0,0,0,1,125,4,5,1
24,1961730,82,1,12,0,0,0,1,90,0,4,1
24,7758660,105,3,6,3,0,1,1,145,4,5,1
24,1585800,55,0,18,0,0,0,1,60,0,4,1
24,2063020,85,1,6,0,0,0,1,95,7,4,1
24,3166700,75,0,17,4,0,0,1,100,3,2,1
24,1932400,90,1,2,0,0,0,1,100,2,4,0
24,2957580,75,1,2,0,0,0,1,90,7,3,0
24,5110800,130,3,12,3,0,1,1,150,2,5,0
24,8561280,140,3,2,0,0,0,1,160,3,3,1
